"click","device","ad_position","user_segment","pages_viewed","time_on_site","topic_match","past_ctr_hi"
0,"mobile","top","new",8,93,0,0
1,"mobile","top","returning",1,97,0,1
0,"desktop","bottom","returning",6,87,0,0
0,"mobile","top","returning",4,75,1,0
0,"mobile","top","new",4,43,0,0
0,"desktop","middle","new",5,82,1,0
1,"mobile","bottom","new",4,98,0,1
0,"mobile","top","returning",4,74,0,0
0,"mobile","top","returning",2,193,0,1
1,"mobile","middle","new",8,47,1,1
1,"desktop","bottom","returning",7,92,1,0
0,"desktop","top","returning",2,28,1,0
0,"mobile","middle","returning",4,256,0,0
1,"desktop","top","returning",6,44,1,1
1,"mobile","middle","new",4,35,1,0
1,"mobile","top","new",5,42,0,1
1,"mobile","top","returning",5,75,1,0
1,"desktop","top","returning",8,40,1,1
0,"mobile","middle","returning",3,51,0,0
0,"desktop","top","returning",7,75,0,0
0,"desktop","top","returning",4,59,0,0
0,"desktop","middle","returning",4,69,1,0
0,"mobile","middle","new",5,42,0,1
0,"desktop","middle","returning",6,51,1,0
1,"desktop","middle","new",5,52,1,0
0,"desktop","middle","returning",4,151,1,0
0,"mobile","middle","new",5,56,0,0
0,"mobile","top","returning",6,48,1,0
0,"mobile","top","new",6,94,0,0
0,"mobile","middle","new",2,101,0,1
0,"desktop","middle","new",5,68,0,0
0,"mobile","bottom","new",9,108,0,0
0,"mobile","top","returning",4,47,0,0
0,"mobile","top","new",5,131,0,0
0,"desktop","middle","new",7,44,0,0
0,"mobile","bottom","new",3,98,1,1
0,"desktop","top","new",2,47,1,0
1,"mobile","top","returning",7,128,1,0
1,"mobile","top","returning",6,66,1,1
0,"desktop","top","new",3,39,0,0
0,"desktop","top","returning",8,54,0,0
1,"desktop","top","returning",7,77,1,1
0,"mobile","top","returning",8,68,0,0
1,"mobile","top","new",3,29,1,1
0,"desktop","top","returning",7,128,0,1
1,"mobile","bottom","returning",5,63,1,0
0,"desktop","middle","returning",1,28,0,1
0,"mobile","middle","returning",3,92,0,0
1,"mobile","top","returning",6,53,0,1
0,"desktop","middle","new",7,93,0,0
0,"mobile","middle","new",2,92,1,0
0,"mobile","top","returning",5,28,0,0
0,"mobile","top","new",1,90,0,0
1,"mobile","middle","returning",7,51,1,1
0,"mobile","middle","returning",6,55,0,0
0,"mobile","middle","returning",8,67,1,0
1,"desktop","top","returning",4,75,1,0
0,"mobile","middle","returning",6,63,0,0
0,"desktop","top","new",4,96,1,0
0,"desktop","top","returning",3,34,1,0
0,"desktop","middle","new",7,51,1,0
0,"mobile","middle","returning",7,76,0,0
0,"mobile","middle","new",6,68,1,0
0,"desktop","top","returning",6,137,1,0
1,"mobile","top","new",6,68,1,0
0,"mobile","bottom","new",6,120,0,1
0,"desktop","top","new",5,29,1,0
1,"desktop","top","new",2,65,1,0
0,"mobile","top","returning",1,69,0,0
1,"mobile","middle","returning",2,39,1,0
0,"desktop","bottom","new",7,147,1,0
0,"mobile","middle","new",3,49,0,0
0,"mobile","top","new",6,86,0,0
0,"desktop","top","returning",7,110,1,0
0,"mobile","bottom","new",5,171,1,0
0,"mobile","bottom","returning",6,86,0,0
1,"mobile","top","returning",6,54,0,1
0,"mobile","middle","new",8,19,1,0
1,"desktop","top","returning",5,69,0,1
1,"mobile","middle","new",4,55,0,1
0,"mobile","bottom","new",4,102,0,0
0,"mobile","middle","new",7,142,0,0
0,"desktop","middle","returning",5,30,0,0
1,"desktop","middle","returning",7,72,1,0
0,"desktop","top","returning",2,41,0,1
0,"desktop","middle","new",4,116,0,0
0,"desktop","top","returning",4,67,1,0
1,"mobile","bottom","returning",6,85,1,1
0,"desktop","middle","new",6,56,0,0
0,"desktop","top","returning",5,137,0,0
0,"desktop","bottom","new",5,33,1,0
1,"desktop","middle","returning",3,116,0,1
0,"mobile","top","new",9,190,0,0
1,"mobile","middle","new",4,98,1,1
0,"mobile","top","returning",5,61,1,0
0,"mobile","middle","new",4,55,0,0
0,"mobile","top","returning",3,61,0,0
0,"desktop","top","returning",7,69,0,0
0,"mobile","top","returning",1,81,1,0
0,"mobile","middle","new",4,147,1,1
1,"mobile","top","returning",5,82,0,1
0,"mobile","top","returning",2,77,0,1
0,"desktop","top","returning",7,83,0,0
1,"desktop","middle","returning",4,124,0,1
0,"mobile","top","returning",6,118,1,0
1,"mobile","top","new",1,50,0,0
1,"mobile","top","new",4,71,1,0
0,"mobile","bottom","new",5,58,1,0
1,"mobile","top","returning",2,45,1,0
1,"mobile","middle","new",7,53,1,0
1,"mobile","top","returning",6,69,1,0
0,"mobile","top","new",5,28,0,0
1,"mobile","middle","new",5,71,0,1
0,"mobile","bottom","new",5,28,1,0
1,"mobile","top","new",6,66,1,0
0,"desktop","top","new",5,47,1,0
0,"mobile","top","new",8,49,0,0
1,"mobile","middle","returning",4,45,0,1
1,"mobile","top","returning",7,43,1,1
0,"desktop","middle","returning",5,108,0,0
1,"mobile","middle","returning",9,53,1,0
0,"mobile","middle","new",5,68,1,0
1,"mobile","top","new",5,109,1,0
1,"desktop","top","returning",4,73,1,0
1,"mobile","top","returning",1,70,0,1
0,"desktop","top","returning",1,39,1,0
0,"desktop","top","returning",5,98,0,0
1,"desktop","top","returning",5,133,1,1
0,"desktop","top","new",4,86,1,1
1,"mobile","top","returning",6,55,0,1
1,"mobile","top","returning",8,95,1,1
0,"desktop","middle","new",8,19,0,0
0,"mobile","top","returning",1,48,0,0
0,"desktop","top","new",7,69,0,0
0,"mobile","middle","returning",7,188,0,0
0,"desktop","top","returning",6,37,0,0
1,"mobile","top","returning",7,46,1,0
0,"mobile","bottom","new",5,52,0,1
0,"mobile","bottom","new",4,52,0,0
1,"mobile","middle","returning",7,75,0,1
1,"mobile","top","returning",4,82,1,1
0,"desktop","bottom","new",7,51,0,0
0,"desktop","middle","returning",3,70,0,0
1,"mobile","bottom","new",4,71,1,1
1,"mobile","top","returning",4,41,1,1
0,"desktop","top","new",7,33,0,0
0,"desktop","middle","new",5,75,0,0
0,"desktop","top","new",6,63,0,0
0,"mobile","middle","returning",10,63,1,1
1,"mobile","top","returning",3,149,0,1
0,"desktop","bottom","new",8,111,1,0
0,"mobile","middle","new",6,85,1,0
0,"mobile","bottom","returning",5,33,0,0
1,"mobile","bottom","new",3,41,1,0
0,"desktop","top","returning",11,138,0,1
1,"desktop","top","returning",2,125,1,0
1,"mobile","top","new",3,31,1,0
0,"mobile","top","new",7,101,1,0
0,"desktop","top","returning",2,45,0,1
0,"mobile","middle","new",6,143,1,0
0,"mobile","bottom","returning",2,62,0,0
1,"mobile","top","returning",6,86,0,1
1,"mobile","middle","new",9,131,0,1
0,"mobile","bottom","returning",5,118,0,1
1,"mobile","top","returning",6,64,0,1
0,"mobile","middle","new",6,120,0,1
0,"desktop","middle","returning",3,49,0,0
0,"mobile","top","returning",3,78,0,0
0,"desktop","top","new",4,51,0,0
0,"mobile","middle","returning",6,82,1,0
1,"mobile","middle","returning",3,35,1,1
0,"desktop","middle","returning",5,90,0,0
0,"desktop","bottom","returning",7,124,1,0
0,"mobile","top","new",4,126,1,0
0,"desktop","top","new",5,62,0,0
0,"desktop","top","new",5,217,1,0
0,"desktop","middle","new",2,50,0,0
1,"mobile","top","returning",5,79,0,0
0,"mobile","middle","new",3,34,0,0
0,"mobile","top","returning",4,80,0,0
0,"mobile","middle","new",6,76,0,1
0,"desktop","middle","returning",6,32,1,0
1,"desktop","top","new",3,68,0,1
0,"desktop","middle","returning",3,78,0,0
0,"mobile","middle","returning",9,85,0,0
1,"mobile","bottom","new",1,74,1,1
1,"mobile","top","returning",3,46,1,0
0,"mobile","top","returning",4,34,0,0
0,"mobile","top","new",5,140,0,0
0,"mobile","middle","returning",4,57,1,0
0,"desktop","middle","returning",2,124,0,0
1,"mobile","top","returning",5,25,1,0
1,"desktop","top","returning",2,183,1,0
1,"mobile","bottom","new",4,39,0,0
1,"desktop","top","returning",6,58,1,1
0,"mobile","middle","returning",7,100,0,0
0,"desktop","top","returning",7,76,0,1
1,"mobile","bottom","returning",7,47,0,1
0,"desktop","middle","new",4,21,0,0
0,"mobile","top","new",1,68,1,0
0,"desktop","middle","new",2,43,0,0
0,"desktop","middle","returning",6,15,0,1
0,"desktop","top","returning",1,54,0,1
0,"mobile","middle","returning",6,82,0,0
0,"mobile","top","new",5,48,0,1
0,"mobile","bottom","returning",9,66,0,0
0,"mobile","top","returning",5,81,1,0
0,"mobile","top","returning",1,28,0,1
0,"desktop","middle","returning",7,125,1,0
1,"mobile","bottom","returning",7,64,0,1
0,"mobile","middle","returning",4,269,0,0
0,"mobile","top","new",4,124,0,0
0,"desktop","middle","returning",6,167,0,0
1,"desktop","top","returning",6,58,1,0
0,"desktop","top","new",5,50,0,0
0,"desktop","middle","returning",5,83,0,0
0,"desktop","top","new",9,74,0,1
0,"mobile","top","returning",7,33,1,0
1,"mobile","top","returning",9,106,1,0
1,"mobile","top","returning",4,90,1,1
0,"mobile","top","returning",4,81,0,0
0,"mobile","bottom","returning",4,66,0,0
1,"mobile","top","returning",6,47,1,1
0,"desktop","bottom","new",9,42,0,1
0,"mobile","top","returning",6,41,1,0
0,"mobile","bottom","new",4,21,1,0
0,"mobile","top","new",6,174,0,1
1,"desktop","top","returning",4,113,1,0
0,"desktop","top","returning",5,41,0,0
0,"desktop","middle","returning",3,63,1,1
0,"mobile","top","new",5,57,0,0
0,"mobile","middle","returning",4,59,0,0
1,"desktop","top","new",3,60,0,1
0,"desktop","top","returning",5,94,0,0
0,"mobile","top","new",6,62,0,1
0,"mobile","middle","returning",5,77,0,1
1,"mobile","middle","returning",4,97,1,0
0,"mobile","top","new",5,84,1,0
1,"mobile","top","returning",7,63,1,0
1,"mobile","top","returning",6,82,0,0
1,"mobile","top","new",5,20,1,0
1,"mobile","middle","new",3,52,1,1
0,"desktop","top","new",5,140,0,0
1,"mobile","top","returning",2,78,1,0
1,"mobile","middle","returning",7,137,0,1
0,"mobile","top","returning",6,57,1,0
1,"desktop","top","new",8,40,1,0
0,"desktop","top","new",7,42,1,0
0,"desktop","bottom","returning",6,68,0,0
1,"desktop","middle","returning",4,34,0,1
1,"mobile","middle","returning",5,121,1,0
0,"mobile","middle","returning",3,76,1,0
1,"desktop","middle","new",5,56,0,1
0,"desktop","middle","returning",7,125,0,0
0,"mobile","bottom","new",5,75,0,0
0,"desktop","top","returning",5,57,1,0
0,"desktop","top","new",4,28,0,0
0,"desktop","bottom","new",8,33,0,0
1,"mobile","top","returning",6,51,1,0
0,"mobile","bottom","returning",3,54,0,0
0,"mobile","top","returning",6,75,1,0
0,"mobile","middle","returning",7,35,1,0
0,"mobile","middle","returning",4,29,0,0
0,"mobile","middle","returning",5,47,0,0
0,"mobile","top","returning",4,136,1,0
1,"desktop","middle","new",8,47,1,0
1,"mobile","top","new",5,73,1,1
1,"mobile","middle","new",10,64,1,0
0,"desktop","top","returning",1,47,1,0
0,"desktop","middle","new",5,40,1,0
0,"mobile","middle","new",7,47,1,0
0,"mobile","middle","returning",4,38,1,0
0,"desktop","top","new",9,102,0,0
0,"desktop","middle","new",5,66,1,0
0,"mobile","middle","returning",3,72,0,0
0,"mobile","top","returning",4,64,0,1
0,"desktop","top","returning",5,59,0,0
1,"mobile","bottom","returning",5,73,1,0
0,"mobile","top","new",5,69,0,0
0,"desktop","top","new",8,54,0,0
0,"mobile","middle","new",4,122,0,0
0,"mobile","top","returning",4,111,0,0
0,"desktop","top","returning",5,57,0,1
0,"desktop","top","returning",3,67,0,0
0,"mobile","middle","new",5,66,0,0
0,"desktop","middle","returning",6,84,0,0
0,"desktop","middle","returning",3,113,1,1
0,"mobile","bottom","returning",3,38,1,0
1,"mobile","middle","returning",5,57,1,0
1,"desktop","middle","new",4,32,1,1
1,"desktop","top","returning",6,53,1,1
0,"desktop","top","returning",4,77,1,0
0,"desktop","top","returning",5,59,0,0
1,"mobile","middle","new",6,41,1,0
0,"mobile","middle","new",3,66,1,0
1,"mobile","top","returning",7,52,1,1
0,"mobile","top","new",6,63,1,0
1,"mobile","top","new",10,55,1,0
0,"mobile","top","returning",4,48,0,0
0,"desktop","top","new",1,123,1,0
0,"mobile","top","new",7,24,0,0
0,"mobile","top","returning",5,66,0,0
0,"desktop","top","returning",8,80,0,1
0,"mobile","bottom","new",3,54,0,0
1,"desktop","top","returning",10,62,1,1
1,"mobile","top","returning",8,68,0,1
1,"mobile","top","returning",5,70,1,0
1,"desktop","top","new",7,66,1,0
1,"desktop","middle","returning",5,32,1,1
0,"desktop","middle","returning",9,165,1,0
0,"mobile","top","returning",4,72,0,0
0,"mobile","middle","new",5,56,0,0
0,"desktop","bottom","new",3,40,0,1
1,"mobile","top","returning",5,106,0,1
0,"mobile","middle","returning",3,73,0,0
1,"desktop","top","new",8,85,1,0
0,"mobile","middle","returning",4,77,0,0
1,"mobile","top","new",4,111,0,0
0,"desktop","middle","returning",7,84,1,0
0,"mobile","top","returning",2,66,0,0
0,"mobile","middle","new",7,65,0,0
0,"mobile","middle","returning",4,98,1,1
0,"mobile","bottom","returning",5,74,0,1
0,"mobile","top","returning",2,54,0,0
1,"mobile","top","returning",6,94,0,1
1,"desktop","top","new",7,56,1,1
0,"mobile","top","returning",6,33,1,1
0,"mobile","top","returning",4,203,0,0
0,"desktop","middle","returning",6,60,1,1
0,"desktop","top","returning",5,56,0,0
0,"mobile","middle","returning",5,170,1,0
0,"mobile","middle","new",4,147,0,1
1,"desktop","middle","returning",10,26,1,1
0,"mobile","bottom","new",1,59,1,0
1,"desktop","middle","new",6,21,0,1
0,"mobile","bottom","new",9,50,0,0
0,"desktop","top","new",3,61,0,1
1,"mobile","top","new",2,60,1,0
0,"desktop","bottom","returning",3,35,0,0
0,"mobile","top","new",5,53,0,0
1,"mobile","middle","new",8,61,1,1
0,"mobile","top","returning",6,41,0,1
0,"mobile","middle","new",5,58,0,0
0,"desktop","middle","new",3,37,1,0
1,"mobile","top","returning",3,17,1,0
0,"desktop","top","returning",5,62,0,0
0,"desktop","top","returning",5,62,0,0
1,"mobile","middle","new",5,30,0,0
0,"mobile","top","new",1,86,1,0
1,"mobile","top","new",6,110,1,1
0,"mobile","middle","new",5,75,1,0
1,"mobile","top","returning",2,79,1,1
0,"desktop","top","returning",2,63,1,0
0,"desktop","top","new",5,58,1,0
0,"mobile","middle","returning",3,84,0,0
0,"desktop","top","returning",1,50,1,0
0,"mobile","bottom","returning",5,101,0,0
0,"mobile","top","new",6,57,0,0
0,"mobile","middle","new",7,93,0,1
1,"desktop","top","returning",3,190,1,1
0,"mobile","top","new",5,67,0,0
0,"mobile","top","returning",7,48,0,0
0,"desktop","middle","returning",2,108,1,0
0,"mobile","middle","returning",7,52,0,0
0,"desktop","bottom","new",9,92,1,0
1,"mobile","middle","returning",4,51,1,0
1,"mobile","middle","returning",5,67,0,1
0,"mobile","top","returning",1,73,1,0
0,"mobile","top","new",1,55,0,0
1,"desktop","top","returning",8,159,1,0
1,"mobile","top","returning",1,57,0,0
0,"mobile","top","new",5,67,0,0
0,"mobile","bottom","returning",3,94,1,0
1,"mobile","top","returning",5,95,0,1
1,"desktop","middle","returning",4,71,1,0
1,"mobile","top","returning",5,62,0,0
1,"mobile","top","new",5,111,1,1
1,"desktop","top","returning",6,79,1,0
0,"desktop","bottom","new",4,110,0,1
0,"mobile","top","returning",7,53,0,0
0,"mobile","top","new",3,191,0,0
0,"mobile","top","returning",5,151,0,0
0,"desktop","top","new",1,42,1,0
0,"desktop","middle","returning",6,57,0,0
1,"mobile","middle","new",5,46,0,1
1,"mobile","bottom","returning",7,126,1,0
0,"desktop","middle","new",2,78,1,0
0,"mobile","middle","returning",4,73,1,0
0,"desktop","middle","returning",3,45,1,0
0,"mobile","bottom","returning",5,161,0,0
0,"mobile","bottom","returning",3,120,0,1
0,"mobile","top","returning",4,82,0,0
0,"mobile","top","returning",7,156,0,0
1,"mobile","bottom","new",9,72,1,0
1,"mobile","top","returning",1,55,1,0
0,"desktop","middle","new",2,19,0,0
0,"mobile","middle","new",7,42,0,0
0,"desktop","top","returning",5,28,1,0
0,"desktop","middle","returning",3,21,1,0
0,"desktop","middle","new",6,18,0,0
0,"mobile","top","returning",3,50,0,0
1,"mobile","top","returning",5,79,0,0
0,"desktop","top","new",6,43,0,0
1,"mobile","middle","returning",7,74,1,0
0,"mobile","top","returning",6,38,0,0
1,"mobile","top","returning",6,126,0,1
0,"mobile","bottom","new",6,36,0,0
0,"mobile","top","new",7,115,1,0
0,"desktop","middle","returning",4,60,1,1
0,"desktop","top","returning",3,35,1,0
1,"desktop","top","returning",6,86,1,0
1,"mobile","top","new",6,136,1,0
0,"mobile","middle","new",7,60,0,0
0,"desktop","bottom","new",3,89,1,1
0,"mobile","top","new",6,67,1,0
0,"mobile","middle","returning",4,75,0,0
1,"mobile","top","returning",6,57,1,0
0,"mobile","middle","new",7,52,1,0
1,"mobile","top","returning",7,43,1,0
0,"mobile","middle","returning",3,69,0,0
0,"desktop","top","new",3,42,1,0
0,"mobile","middle","new",4,84,0,0
0,"desktop","bottom","new",6,64,1,0
0,"mobile","middle","returning",4,22,0,0
0,"desktop","top","returning",5,15,0,0
1,"mobile","bottom","returning",7,27,1,1
0,"desktop","top","new",6,36,0,0
0,"desktop","middle","new",7,50,0,0
0,"mobile","middle","new",5,81,1,0
1,"desktop","top","new",6,35,1,0
0,"mobile","middle","returning",3,24,1,0
0,"mobile","top","returning",6,77,0,0
0,"desktop","middle","returning",2,73,0,0
0,"mobile","top","returning",2,45,1,0
0,"desktop","middle","returning",6,75,0,1
1,"mobile","top","returning",3,56,1,0
1,"desktop","bottom","returning",6,150,0,1
0,"desktop","top","returning",2,61,0,1
0,"mobile","top","returning",5,38,1,0
0,"mobile","bottom","new",2,102,0,0
0,"desktop","middle","returning",6,103,0,1
1,"mobile","top","returning",1,104,1,0
0,"desktop","middle","returning",6,98,0,0
1,"desktop","top","returning",5,33,1,1
1,"mobile","bottom","new",7,80,0,1
1,"mobile","top","new",10,36,1,1
0,"desktop","middle","new",1,67,0,0
1,"mobile","top","returning",4,67,1,1
0,"desktop","top","new",4,66,0,1
0,"mobile","bottom","new",4,46,0,0
0,"mobile","middle","returning",2,48,0,0
0,"desktop","top","new",6,46,1,0
1,"desktop","middle","returning",5,122,1,0
1,"mobile","top","returning",6,33,0,1
0,"mobile","top","returning",9,28,0,0
0,"mobile","top","returning",2,93,0,0
1,"mobile","top","returning",6,54,1,0
0,"mobile","middle","returning",4,57,0,1
0,"mobile","middle","new",4,146,0,0
1,"mobile","bottom","returning",4,18,1,1
1,"mobile","top","new",5,42,0,1
0,"desktop","top","returning",7,65,1,0
0,"mobile","top","new",3,92,0,0
0,"mobile","middle","new",4,112,1,0
1,"mobile","top","returning",6,133,1,0
0,"desktop","top","returning",6,76,0,0
1,"mobile","middle","new",8,88,0,1
0,"desktop","bottom","new",4,89,0,1
0,"mobile","top","returning",5,127,1,0
0,"mobile","middle","returning",1,72,1,0
0,"desktop","bottom","returning",8,87,1,1
0,"mobile","top","new",6,67,1,0
0,"desktop","middle","new",7,89,1,0
1,"mobile","top","returning",3,109,1,0
0,"mobile","top","returning",8,67,1,0
0,"mobile","top","new",4,50,1,0
0,"mobile","middle","new",8,39,1,0
1,"mobile","top","returning",5,36,1,0
0,"desktop","bottom","new",6,38,0,0
0,"desktop","top","new",5,66,0,0
0,"mobile","middle","returning",3,35,0,1
1,"desktop","top","returning",5,16,1,0
0,"mobile","bottom","returning",4,152,1,0
1,"desktop","middle","new",3,115,0,0
1,"desktop","middle","returning",5,67,1,0
1,"mobile","middle","new",3,78,0,1
0,"desktop","bottom","returning",5,69,0,0
0,"mobile","middle","returning",5,78,1,0
0,"desktop","bottom","new",6,60,1,1
1,"mobile","middle","returning",3,95,1,1
1,"desktop","top","returning",6,93,1,1
0,"mobile","bottom","returning",5,183,1,0
0,"mobile","middle","returning",4,96,0,0
1,"desktop","top","returning",7,216,0,1
0,"mobile","top","new",5,102,0,0
0,"desktop","top","returning",3,157,1,0
0,"mobile","top","new",2,84,1,0
1,"desktop","middle","new",6,70,1,1
0,"desktop","top","returning",3,82,1,0
0,"mobile","middle","new",9,141,1,1
0,"desktop","top","returning",6,88,0,0
1,"desktop","top","returning",1,101,1,1
0,"mobile","top","new",3,24,1,0
0,"mobile","bottom","returning",3,58,0,0
0,"mobile","middle","new",3,81,1,0
0,"mobile","bottom","new",2,57,0,1
1,"desktop","top","returning",6,78,1,0
0,"mobile","middle","returning",6,112,0,0
1,"mobile","top","returning",6,98,1,0
0,"desktop","middle","returning",7,68,0,0
0,"mobile","bottom","returning",5,99,0,0
1,"mobile","top","new",8,69,1,0
1,"mobile","top","returning",3,136,1,1
0,"mobile","top","returning",4,38,0,0
0,"desktop","bottom","new",3,194,0,0
0,"desktop","middle","returning",4,31,1,0
1,"mobile","top","returning",3,48,1,0
0,"desktop","middle","returning",6,84,0,1
0,"desktop","top","returning",5,184,0,0
0,"mobile","top","new",7,58,1,0
0,"desktop","top","returning",2,88,0,0
1,"mobile","top","returning",2,49,1,0
1,"desktop","middle","returning",4,122,1,1
0,"mobile","bottom","returning",3,33,0,0
0,"desktop","middle","returning",2,88,1,0
1,"mobile","middle","returning",6,137,1,1
0,"mobile","middle","new",6,111,1,0
0,"desktop","top","returning",8,108,0,0
0,"desktop","bottom","returning",6,75,0,1
0,"mobile","middle","new",6,42,0,0
1,"mobile","bottom","returning",8,132,0,1
0,"mobile","middle","new",4,45,0,0
1,"mobile","middle","returning",5,103,0,1
0,"desktop","middle","returning",6,46,0,0
0,"desktop","middle","returning",10,63,1,0
0,"desktop","middle","returning",6,47,1,0
1,"mobile","middle","returning",3,28,0,0
1,"desktop","top","returning",6,76,0,0
0,"mobile","top","new",3,112,0,1
1,"mobile","middle","new",3,82,0,0
0,"desktop","middle","returning",7,79,1,0
0,"desktop","middle","returning",3,47,0,1
0,"mobile","bottom","new",2,155,0,0
1,"mobile","top","returning",4,45,0,0
0,"mobile","top","returning",4,123,0,1
1,"desktop","top","new",6,151,0,1
0,"mobile","top","returning",5,109,0,0
0,"mobile","top","new",10,30,0,0
1,"desktop","top","returning",8,65,0,0
0,"mobile","middle","returning",1,65,1,0
1,"mobile","top","new",6,129,0,1
0,"desktop","top","returning",4,48,1,0
1,"mobile","top","returning",7,79,1,0
0,"mobile","middle","returning",3,66,0,0
1,"desktop","top","new",4,66,1,1
1,"mobile","top","returning",5,75,1,0
1,"mobile","top","new",6,71,0,0
1,"mobile","top","new",2,102,0,0
0,"desktop","middle","returning",4,52,0,0
0,"mobile","bottom","returning",1,178,0,0
0,"desktop","middle","returning",6,123,0,0
1,"mobile","middle","returning",4,67,1,1
0,"mobile","middle","new",8,41,0,0
1,"desktop","top","new",7,66,0,0
0,"mobile","middle","new",3,68,1,1
1,"mobile","top","returning",6,85,0,0
0,"desktop","top","returning",7,65,0,1
0,"mobile","middle","new",6,35,0,0
1,"desktop","bottom","returning",3,151,0,1
0,"desktop","top","new",1,48,1,1
0,"desktop","middle","returning",5,42,1,0
0,"desktop","middle","returning",4,25,1,0
0,"mobile","bottom","new",8,32,0,1
0,"desktop","top","new",3,37,1,0
0,"desktop","top","new",6,62,1,1
1,"desktop","top","returning",7,138,1,1
1,"mobile","top","new",7,61,1,1
1,"mobile","middle","returning",2,79,0,0
0,"mobile","bottom","returning",2,65,0,1
0,"mobile","middle","new",4,168,0,0
0,"desktop","top","returning",7,72,0,0
0,"mobile","bottom","returning",7,88,0,0
0,"mobile","top","new",9,72,0,0
0,"desktop","top","new",3,40,0,0
0,"desktop","bottom","returning",4,71,0,0
0,"mobile","top","returning",5,54,0,0
0,"desktop","top","returning",7,131,0,0
0,"mobile","top","new",1,46,1,0
1,"mobile","top","returning",3,70,0,1
0,"desktop","top","new",8,94,1,0
0,"desktop","middle","returning",7,78,1,1
0,"desktop","middle","returning",1,51,0,0
1,"mobile","top","new",7,55,0,0
1,"mobile","top","returning",6,119,0,1
0,"desktop","top","new",4,53,0,0
0,"desktop","top","new",5,84,0,0
1,"mobile","middle","new",6,109,1,1
0,"mobile","top","new",6,79,0,0
0,"desktop","middle","returning",7,30,1,0
1,"desktop","top","returning",8,101,0,1
0,"mobile","top","returning",6,150,0,0
0,"mobile","bottom","returning",2,80,0,0
1,"desktop","top","new",5,75,1,1
0,"desktop","bottom","returning",1,87,0,0
0,"desktop","middle","new",5,37,0,0
0,"mobile","top","returning",3,61,1,0
1,"mobile","middle","returning",3,52,1,1
1,"desktop","top","returning",4,169,1,0
1,"desktop","top","returning",13,135,1,0
0,"desktop","middle","new",3,102,0,0
1,"mobile","top","returning",3,52,1,0
0,"mobile","bottom","new",4,88,0,0
0,"mobile","top","returning",4,30,0,0
1,"desktop","top","returning",12,108,0,1
0,"desktop","top","returning",5,89,0,0
0,"mobile","top","returning",5,86,1,0
1,"desktop","top","returning",4,62,0,0
0,"mobile","top","returning",7,108,0,0
0,"mobile","top","returning",5,154,0,0
0,"desktop","top","returning",6,29,0,1
1,"mobile","top","returning",5,76,1,0
0,"desktop","top","returning",2,89,0,1
1,"mobile","middle","returning",3,39,1,1
1,"mobile","top","returning",5,110,0,1
1,"mobile","top","new",7,149,0,0
1,"mobile","bottom","returning",6,141,1,1
0,"mobile","top","new",5,81,0,0
1,"mobile","middle","returning",3,157,1,0
0,"mobile","bottom","returning",7,82,1,0
0,"desktop","bottom","new",7,58,1,0
1,"mobile","middle","returning",4,60,0,1
0,"mobile","middle","returning",7,97,0,0
1,"mobile","top","returning",5,113,1,0
0,"desktop","top","new",5,39,1,0
0,"desktop","top","returning",7,83,0,0
1,"desktop","top","returning",6,52,0,1
0,"desktop","top","new",3,77,0,0
0,"desktop","middle","new",6,42,0,1
0,"mobile","top","new",4,45,0,0
1,"mobile","top","returning",5,68,1,1
