"tenure_months","logins_last30","tickets_30d","email_engagement","price_increase_60d","plan_downgrade","region","churn"
9,9,0,0.528350301399174,0,0,"West",1
26,14,0,0.0992979337581647,0,0,"East",0
22,14,0,0.0890932983638528,0,0,"North",1
24,19,1,0.577794805301083,0,0,"East",0
29,14,0,0.429640919650708,0,0,"East",0
20,13,0,0.112013025371126,0,0,"West",0
32,16,0,0.66605146807999,0,0,"West",0
21,9,2,0.531776204871036,0,0,"North",0
28,17,0,0.100397540360369,0,0,"North",0
37,7,0,0.541268839159871,1,0,"South",0
29,14,0,0.3059542992001,1,0,"North",0
20,3,0,0.0423523610869382,0,0,"East",0
38,13,0,0.144287176397156,0,0,"West",0
36,4,0,0.465870380202244,1,0,"West",0
31,11,1,0.0745432922903951,0,0,"South",0
27,3,1,0.288282529602987,0,0,"North",0
16,9,1,0.0453098069070897,0,0,"South",0
40,8,2,0.49776701374303,0,0,"West",0
17,15,1,0.395661517141992,0,0,"East",0
50,9,0,0.235701930230133,0,0,"North",0
42,8,1,0.397454372561405,0,0,"North",0
21,18,0,0.166202297168642,0,0,"East",0
12,20,1,0.126599786820303,0,0,"East",1
15,17,1,0.50821988272115,0,0,"North",0
27,5,0,0.357232746428575,0,0,"North",0
21,18,0,0.386971116248954,1,0,"West",0
20,6,0,0.354070740481719,1,0,"North",1
13,12,0,0.37559432303103,0,0,"West",0
23,16,1,0.325501591480058,1,0,"North",0
15,11,1,0.0890753532912675,1,0,"East",0
4,11,0,0.0373242759169146,0,0,"East",0
19,13,0,0.089200108146684,0,0,"West",0
35,14,0,0.599707153054124,1,0,"West",0
17,14,0,0.110312174025232,0,0,"West",1
31,3,1,0.422467693367592,0,0,"West",0
5,11,0,0.474164669146436,0,0,"West",0
23,13,0,0.324310520000444,1,0,"East",0
30,15,0,0.355647031851213,0,1,"North",0
28,10,0,0.435331876907631,1,0,"North",0
25,8,1,0.285319975009207,1,0,"North",0
16,5,0,0.227365948954589,0,0,"West",0
14,8,0,0.175974231743299,1,0,"North",0
12,11,1,0.512322462537376,0,0,"North",0
25,9,0,0.306905770198331,0,0,"South",0
13,15,1,0.554358219755591,0,0,"South",0
18,14,0,0.202357866373682,0,0,"East",0
21,4,1,0.237716011164574,0,0,"West",0
46,14,2,0.398826348944899,0,0,"West",0
16,15,1,0.436240150360407,0,0,"North",0
27,11,2,0.244184161345609,0,0,"South",0
25,12,1,0.333728618197784,0,0,"West",0
12,10,0,0.106095528321775,1,0,"North",0
23,11,0,0.236310419371498,0,0,"South",0
41,7,1,0.266295897828199,0,0,"West",0
29,14,0,0.219636996669194,0,0,"East",0
24,6,0,0.125300893455688,1,0,"West",1
19,9,0,0.493291527854762,1,0,"North",0
1,7,0,0.0483550153565805,0,0,"West",1
38,8,2,0.225604288085167,1,0,"West",0
6,10,0,0.311599120533685,0,0,"West",0
33,10,0,0.0750351222878927,0,0,"South",0
47,9,0,0.19804903893322,0,0,"East",0
7,11,1,0.437682133903696,1,1,"East",0
32,4,1,0.0482732397478567,1,0,"West",0
21,13,1,0.232728897364639,1,0,"West",0
5,15,0,0.299591836224422,0,0,"West",0
6,6,0,0.0860080156796762,0,0,"South",0
5,5,1,0.507159695389818,0,0,"East",0
18,23,1,0.343965864280103,0,0,"South",0
6,13,2,0.266986465475306,0,0,"West",0
32,12,0,0.323096818249106,0,0,"North",1
49,11,2,0.274950171336888,0,0,"South",0
9,14,1,0.440439906815121,0,0,"West",0
33,12,0,0.323931027592678,0,0,"West",0
33,9,1,0.208863360636048,0,0,"West",0
28,10,0,0.49476394926769,0,0,"West",0
12,10,0,0.315044620558924,0,0,"East",0
23,10,1,0.291325260171513,0,0,"West",0
21,8,1,0.312344674050472,0,0,"West",0
31,17,1,0.219733439347213,0,1,"North",0
20,12,1,0.0328971919081157,0,0,"East",0
36,8,0,0.038826469851766,0,0,"North",0
20,15,0,0.259026703795297,0,0,"South",0
37,14,1,0.304699818858136,0,0,"North",0
11,11,0,0.166003076519482,0,0,"North",0
9,14,2,0.42642141424963,0,0,"North",0
63,7,0,0.63287100596619,0,1,"North",0
19,11,1,0.0285668676124506,0,0,"South",0
28,7,0,0.514675342725056,0,0,"South",0
32,6,2,0.446313453642324,0,0,"North",0
18,10,1,0.565701493598779,0,0,"West",0
30,13,0,0.256868767928767,0,0,"East",0
28,7,1,0.231059160320765,0,1,"West",0
21,11,3,0.168001518110289,1,0,"East",1
25,3,0,0.499830012662137,0,0,"West",0
24,10,0,0.150220160763985,1,0,"West",1
50,18,0,0.181456123269777,1,0,"West",0
15,6,1,0.164670895463912,0,0,"West",0
11,6,0,0.497079775033021,0,0,"East",0
24,11,1,0.273771855624472,0,0,"West",0
28,15,2,0.406924069788929,0,0,"North",0
29,18,0,0.125177615960911,1,0,"East",0
18,25,2,0.622909469696681,0,0,"West",0
11,16,0,0.428480492844886,0,0,"West",1
39,15,2,0.288837962392882,1,0,"North",0
20,22,1,0.103467824184259,0,0,"South",0
14,10,1,0.0594756809241574,0,1,"South",0
21,11,1,0.155355214465064,0,0,"West",0
22,13,2,0.0677651875780187,0,1,"North",0
37,5,1,0.383007953360231,0,0,"West",0
25,3,0,0.0667198243517214,1,0,"North",0
33,21,2,0.386123802009168,0,0,"South",0
18,9,2,0.327463836052755,0,0,"South",0
27,10,1,0.392923174476382,0,0,"East",0
20,7,0,0.455119335176363,0,1,"West",0
25,13,0,0.151016687017914,0,0,"North",1
13,15,0,0.129361618983242,1,0,"North",0
8,11,1,0.190180936935589,0,1,"South",0
48,12,0,0.363258973898458,0,1,"South",1
31,17,0,0.115801110525531,0,0,"North",0
9,12,1,0.270660388913564,1,0,"North",1
17,9,1,0.47453199037015,0,0,"West",0
10,12,0,0.187534937246334,0,1,"South",0
50,8,0,0.274377775004942,0,1,"South",0
40,13,0,0.322322451583921,0,0,"North",1
21,8,0,0.0631416559467417,0,0,"West",0
31,19,0,0.253395892822716,0,0,"South",0
19,0,0,0.100900929123227,0,0,"South",0
18,14,1,0.23711250233855,1,0,"South",0
15,10,0,0.39902384095186,0,0,"South",0
17,22,1,0.42929998488197,1,0,"East",0
44,11,0,0.138454893160393,0,0,"South",0
23,14,0,0.101016052971146,0,0,"South",1
25,14,0,0.748705434439158,0,0,"East",0
27,13,0,0.0420062823509113,0,1,"East",0
39,15,0,0.111442649267324,0,0,"West",0
18,22,0,0.224555023356297,0,0,"West",0
12,17,2,0.271252874797398,0,0,"South",0
44,13,1,0.175072495368775,1,0,"North",0
19,21,0,0.0857509152858653,0,0,"West",0
15,15,1,0.267122828724351,0,0,"West",0
9,15,0,0.0925991484831948,0,0,"South",0
9,18,1,0.195505175004524,1,0,"West",0
17,13,2,0.378784001322084,0,0,"North",0
31,16,0,0.558082981513578,0,1,"West",0
37,11,1,0.504557527880198,0,1,"North",0
32,13,0,0.233289531681735,0,0,"West",0
20,12,1,0.0524202805675379,0,1,"East",0
25,9,2,0.0671059742776344,0,0,"East",0
16,22,0,0.44433031872557,0,0,"West",0
15,9,0,0.0241318151261665,0,0,"West",0
35,10,0,0.459110349722171,0,0,"West",0
12,19,0,0.289784520196846,0,0,"East",0
47,12,1,0.283567503786481,0,0,"West",1
23,18,0,0.03019074761962,0,0,"West",0
27,9,0,0.481197697706164,0,0,"East",0
15,12,1,0.209922736971645,0,0,"West",0
17,11,0,0.229809483170502,1,0,"South",0
8,7,0,0.374359732027479,0,0,"East",0
22,10,0,0.340124358199541,0,0,"South",0
29,9,0,0.282824902700023,0,0,"South",0
28,16,0,0.297005043278804,1,0,"East",0
15,11,0,0.557375679856354,0,0,"South",0
15,12,0,0.210923475882344,1,0,"North",0
18,8,0,0.209680120206503,0,0,"South",0
42,13,0,0.227111314237928,0,0,"North",0
10,4,1,0.45373949897975,0,1,"North",1
22,0,0,0.378817973397296,0,0,"South",0
47,21,0,0.225762635274236,0,0,"West",0
23,16,0,0.222640091905495,0,0,"East",0
8,15,0,0.248762565843075,1,0,"East",0
16,1,0,0.128241382989336,0,0,"West",1
30,15,0,0.315386465138285,0,0,"West",0
19,15,1,0.208303564745375,0,0,"East",0
17,12,0,0.122468874003225,0,0,"East",0
20,16,0,0.288068933878699,0,0,"North",0
25,18,0,0.392947249348047,0,0,"South",0
43,11,0,0.254860169437782,0,0,"West",0
23,22,0,0.237288258281063,0,1,"West",0
37,17,0,0.240497163515731,0,0,"South",0
32,18,0,0.526224584285657,0,0,"North",0
23,10,0,0.454732633012878,0,0,"South",0
6,11,0,0.280424480459118,0,0,"West",0
18,7,1,0.135978781359015,0,0,"East",0
18,14,1,0.29631907000181,0,0,"South",0
25,13,1,0.0942278555155287,0,0,"South",0
40,12,3,0.556960417903618,0,0,"East",0
52,9,0,0.366328201330012,0,0,"East",0
43,11,1,0.55529393909512,1,0,"North",0
22,22,0,0.387577361365872,1,0,"South",0
3,7,0,0.20084528033946,0,0,"West",0
19,10,0,0.262576207967214,1,0,"South",0
25,5,1,0.102398171943575,1,0,"South",0
34,6,0,0.247098746834753,0,1,"South",0
36,11,1,0.575813403907789,1,0,"North",0
32,10,2,0.320839041179305,1,1,"West",0
7,9,1,0.319461002947922,0,0,"West",0
34,8,0,0.205914148672061,0,0,"West",0
19,11,2,0.404104279771158,0,0,"East",0
26,18,2,0.143623802643445,0,0,"North",0
25,10,0,0.347575082402937,0,0,"West",0
29,6,0,0.235982578400614,1,1,"West",0
24,7,1,0.293908170944,0,0,"South",1
4,2,3,0.220656941312586,1,0,"South",0
33,3,0,0.610974808467776,0,0,"South",0
29,8,0,0.310303211829621,1,0,"South",0
21,7,0,0.038638391368866,0,0,"South",0
25,6,1,0.276529204870576,0,0,"South",0
26,22,0,0.499196597733699,0,0,"South",0
27,21,0,0.236470629595784,0,0,"South",0
44,25,0,0.283471138425374,0,0,"North",0
21,16,1,0.12029757465247,1,0,"South",0
26,11,0,0.20500628389586,1,0,"West",0
38,7,0,0.242228733749489,0,0,"West",0
37,6,1,0.307698041022924,0,0,"West",0
38,10,3,0.319440116041955,0,0,"North",0
17,18,1,0.669192300173201,0,0,"West",0
48,15,1,0.166622036464684,0,0,"South",0
25,16,2,0.201279936789496,0,0,"West",1
46,11,0,0.283518797561814,0,0,"North",0
8,4,3,0.10657153247221,0,0,"East",0
24,14,0,0.329619618009121,0,0,"South",0
39,11,0,0.346177118462227,0,0,"West",0
15,10,0,0.101343555561325,0,0,"South",0
15,23,0,0.0964022256095956,0,0,"South",0
13,16,0,0.271924589329794,0,0,"West",0
11,11,1,0.167516949984743,0,0,"West",0
19,2,0,0.453719905838337,1,0,"South",1
28,11,0,0.184993806300386,0,0,"North",0
1,17,0,0.270099025848601,0,0,"South",0
27,14,2,0.383485757922431,0,0,"South",1
39,13,1,0.154527471138216,0,1,"East",1
48,17,0,0.50760740223714,1,0,"West",0
40,11,1,0.351419488772024,0,0,"West",1
33,10,0,0.225958579418872,0,0,"North",0
3,11,0,0.0389698605707157,0,0,"North",0
17,16,0,0.578294185337586,1,0,"East",0
20,11,0,0.287698729057099,0,0,"West",0
32,16,2,0.128613301449261,0,0,"East",0
23,6,2,0.648514055395957,0,1,"South",0
9,6,0,0.246449873766206,1,0,"West",0
44,13,1,0.562262098645081,0,0,"South",0
35,16,0,0.270134062828107,1,0,"West",0
27,10,2,0.180128381542288,0,0,"North",0
39,9,1,0.321305480676631,0,0,"North",1
8,0,1,0.267755342752099,0,0,"West",0
32,14,2,0.136517469131626,0,1,"West",0
18,7,0,0.738330309844665,0,0,"North",0
32,14,2,0.224892221354978,0,0,"West",0
23,19,1,0.179833955066021,0,0,"South",0
32,10,1,0.564865492116096,0,0,"South",0
40,15,1,0.0541474163805493,1,0,"West",0
24,11,0,0.162957589649712,0,0,"North",0
36,14,0,0.325878698892268,0,0,"East",0
10,6,1,0.0872585344717887,0,1,"North",0
15,14,0,0.427625779463336,0,0,"South",0
42,19,2,0.520571662572376,1,0,"North",0
29,21,0,0.361133862609634,0,0,"North",0
1,6,1,0.169772559383476,0,0,"South",0
8,15,0,0.420386180233706,0,0,"North",0
22,9,0,0.24155963279215,0,0,"South",0
34,15,1,0.324176804539558,0,0,"East",0
23,11,2,0.205819874584607,0,1,"West",0
31,11,0,0.0520057680923407,1,0,"North",0
36,15,1,0.144267496521292,0,0,"South",0
44,16,0,0.0993477890248566,1,1,"West",0
25,13,1,0.308964242300339,0,0,"North",0
23,14,0,0.442895210154257,0,0,"West",0
3,14,1,0.320260885364216,0,0,"North",0
25,13,1,0.157035739215538,0,0,"North",0
17,12,0,0.299657069277369,0,0,"North",0
12,17,1,0.299645039294894,0,0,"North",0
22,16,0,0.255353064298765,0,0,"East",1
36,16,1,0.0464458300179212,0,0,"West",0
1,18,0,0.339284210580104,0,0,"North",0
19,15,2,0.240853514036402,0,0,"South",0
25,11,2,0.0653006306680449,0,0,"South",0
13,7,0,0.0536769037814266,0,0,"West",0
28,10,0,0.320109777616344,0,0,"North",0
29,8,0,0.136889136970586,0,0,"North",0
24,11,0,0.0473967226342023,0,0,"East",0
1,9,0,0.266531415231109,0,1,"South",0
55,11,0,0.395645186870174,0,0,"West",0
22,7,1,0.53769949779068,0,0,"South",0
32,9,0,0.12535157104624,0,0,"North",0
27,14,0,0.278747169372779,0,0,"West",0
36,13,0,0.0732824216483385,0,0,"East",0
34,10,0,0.760736757244191,0,0,"West",0
21,17,0,0.15914305051769,0,1,"West",0
29,4,0,0.259169675561136,0,1,"East",0
13,14,2,0.038326122246843,1,0,"West",0
34,20,2,0.615630520328654,0,0,"West",0
18,10,0,0.00789726089717908,0,0,"South",0
53,14,0,0.305907704414083,0,0,"East",1
4,9,0,0.115129654328153,0,0,"North",0
18,12,0,0.240916353533695,0,0,"North",0
34,16,0,0.176660083457155,1,0,"South",0
30,7,1,0.248678753575385,0,0,"South",0
17,9,1,0.25655850628757,0,0,"West",0
12,15,2,0.381676081381996,1,0,"South",0
26,14,1,0.229823447416063,0,0,"North",0
24,16,0,0.558004845148402,0,0,"North",0
3,18,0,0.117931833909563,0,1,"West",0
24,16,2,0.275760162611415,0,1,"North",0
26,7,0,0.0321750469779713,0,0,"North",0
26,13,0,0.394875584743755,0,0,"East",0
11,10,1,0.316464359846297,0,0,"East",0
30,12,0,0.0819168603844722,0,0,"West",0
41,17,2,0.188297887720117,0,1,"East",0
29,13,0,0.100442512042735,0,0,"East",0
10,13,0,0.270021692344146,1,0,"East",0
19,11,1,0.147268960694205,0,0,"East",0
28,14,0,0.228682302104463,0,0,"West",0
16,6,1,0.562400542099672,1,0,"East",0
1,10,1,0.766280785659954,1,0,"East",0
35,20,1,0.0412524713850001,1,0,"East",0
14,15,2,0.579254610414133,0,0,"East",0
17,7,2,0.301446319459755,0,0,"East",0
42,6,0,0.12575431062205,1,0,"South",0
15,7,1,0.446976902441443,0,0,"West",0
34,15,0,0.105399103832205,0,0,"North",0
9,14,1,0.257390832177463,0,0,"East",0
20,9,2,0.366221132820381,1,0,"West",0
23,10,1,0.472280245828265,0,0,"North",0
10,17,0,0.442232762380859,0,0,"West",0
16,10,0,0.409173030470551,0,0,"West",1
24,12,0,0.375677138812951,0,1,"South",0
32,14,0,0.219920052191127,1,0,"West",0
4,11,0,0.113591757987153,0,0,"West",0
20,8,0,0.376286718961382,0,0,"West",1
33,10,0,0.367152927269596,0,0,"East",0
18,7,0,0.526621483900572,1,0,"East",0
27,14,1,0.124055196638184,0,0,"South",0
30,19,0,0.362027083191482,0,0,"East",0
27,13,2,0.20353215745783,1,0,"North",0
32,16,1,0.436484088376331,0,0,"East",0
23,9,0,0.569108505890702,0,1,"South",0
19,11,0,0.487107122683445,0,0,"East",0
1,11,0,0.121837371057079,0,0,"West",1
23,5,0,0.141005157702256,0,0,"North",0
29,12,2,0.177664764777537,0,0,"West",0
30,14,0,0.382952094381478,1,1,"East",0
17,15,3,0.162854462553565,0,0,"South",0
45,19,0,0.33009419930819,0,0,"North",0
27,5,0,0.408214287175245,0,0,"North",0
26,15,2,0.600208246221742,0,1,"North",0
39,16,1,0.303876821152174,1,0,"North",0
15,11,0,0.342014469698175,0,0,"North",0
19,15,0,0.126541602821261,0,0,"North",0
53,5,0,0.43030665426948,0,0,"West",0
24,13,0,0.0537621736370224,0,0,"South",1
44,0,0,0.0855467323346736,0,0,"South",0
7,14,0,0.364967510282796,0,0,"East",0
22,20,0,0.134499711313758,0,0,"West",0
29,20,1,0.366919135785569,0,0,"North",0
28,0,1,0.0913585637187213,0,1,"South",0
12,15,1,0.29111455136293,0,0,"North",0
24,10,0,0.391197653540743,0,0,"North",0
11,12,1,0.0522003895177365,0,1,"North",0
33,1,1,0.342676522791674,1,0,"East",0
37,14,1,0.287822984922395,0,0,"South",0
1,9,1,0.510726836954376,0,0,"South",0
39,14,1,0.0498810949226608,1,0,"North",1
9,11,1,0.218203593467771,0,1,"West",0
29,7,1,0.170245432984444,0,0,"East",0
32,14,0,0.167339075303983,0,0,"North",0
22,15,0,0.0920868532014689,1,0,"North",0
16,12,0,0.3936930142691,1,0,"West",0
26,15,1,0.332998021993202,1,0,"East",0
29,10,0,0.400215888616618,0,0,"West",0
35,18,1,0.0562086208322115,0,1,"West",0
1,10,0,0.347341497945119,0,0,"East",1
4,9,3,0.234423658162031,0,1,"North",0
41,17,0,0.215117066609493,0,0,"East",0
37,18,1,0.165402835077671,0,0,"West",0
29,15,0,0.248214492621091,0,0,"North",0
33,13,1,0.51197311265103,0,0,"North",0
35,20,2,0.147435021561189,0,1,"North",0
1,7,2,0.227115102030111,0,1,"East",1
37,18,0,0.386004501173589,0,0,"North",0
18,21,0,0.741052948852263,0,0,"West",0
27,12,0,0.228911918962794,1,0,"South",0
20,15,1,0.251383914188018,0,0,"West",0
34,15,2,0.0506390837577511,0,0,"East",0
20,18,0,0.618542928702558,0,1,"South",0
30,8,1,0.456253371048869,0,0,"West",0
19,16,1,0.527401118817705,0,0,"North",0
11,3,1,0.1245157951587,0,0,"East",0
39,22,1,0.679099796860704,0,0,"North",0
33,9,0,0.165529886588905,0,0,"East",0
45,10,1,0.277886250445532,1,0,"West",0
25,13,1,0.416861928941251,0,0,"North",0
38,6,0,0.316537390050703,1,0,"North",0
48,11,2,0.144678953659093,0,1,"West",0
21,12,0,0.254336159153927,0,0,"West",0
8,10,1,0.190412152920792,1,0,"South",1
21,22,2,0.121924665051279,1,0,"North",0
21,3,0,0.257899058690947,0,0,"East",0
26,11,0,0.138750937077828,0,0,"East",0
45,18,2,0.281934484962801,0,1,"South",0
20,8,0,0.324277705745242,0,0,"West",1
28,11,0,0.452790354804506,0,0,"South",0
21,22,0,0.143671757655408,0,0,"West",0
24,3,2,0.4414250607978,0,0,"West",0
28,8,0,0.286655244380159,0,0,"West",0
40,6,1,0.218433019417656,0,0,"West",0
25,15,2,0.562847773888734,0,0,"North",0
33,8,1,0.338285508222097,1,0,"East",0
33,14,0,0.152031510388059,0,0,"South",0
35,9,3,0.0942810676987118,0,0,"South",0
17,11,2,0.359701070957104,0,0,"West",0
44,16,2,0.156293462046051,0,0,"West",0
19,13,1,0.75680522203098,0,0,"West",0
23,2,1,0.408577222416341,0,1,"East",0
41,9,0,0.011029752661362,0,0,"South",0
40,16,0,0.121711086072324,0,0,"West",0
11,21,1,0.0965716759843145,1,0,"East",0
14,6,1,0.122426192137065,0,0,"South",0
8,11,0,0.0602763322004426,0,0,"North",0
26,12,1,0.402711546768733,1,0,"West",0
26,8,1,0.367994609616639,0,0,"East",0
28,5,0,0.379441236169422,0,1,"North",0
31,21,1,0.278627689007052,0,0,"North",1
17,19,0,0.109385101789974,0,0,"West",0
12,5,0,0.16671256745044,0,1,"West",0
36,3,0,0.153506144333579,0,0,"North",0
33,11,2,0.215394913603887,0,0,"South",0
6,14,0,0.136568961652103,0,0,"North",0
23,11,0,0.433443534602436,0,0,"North",0
13,18,1,0.260539023883161,0,0,"West",0
1,11,0,0.560884930848164,0,1,"North",0
26,6,0,0.0700939273277871,0,0,"South",0
23,20,0,0.0696420782271966,0,0,"West",0
23,11,1,0.167627035035709,0,0,"East",0
27,11,0,0.140565011597309,0,0,"South",0
35,11,0,0.0705227764698521,0,0,"West",0
26,12,0,0.37164971904872,0,0,"North",0
17,0,1,0.440334516528594,1,0,"West",0
15,15,1,0.400467447705693,0,0,"West",0
22,16,1,0.380896296479427,0,0,"West",0
28,15,0,0.616280833748577,0,0,"South",0
12,10,2,0.213483220106103,0,0,"East",0
22,12,0,0.312195224851608,0,1,"North",0
36,5,0,0.347772655669267,1,0,"North",0
23,14,0,0.380579384088402,0,0,"South",0
16,8,1,0.152455757514648,0,0,"West",0
21,19,1,0.389502699666015,0,0,"North",0
37,7,0,0.107355181691452,0,0,"West",0
31,2,1,0.110842108495416,0,0,"North",0
39,13,1,0.589398663852276,0,0,"West",0
26,4,1,0.104381512315291,0,1,"West",0
29,7,0,0.0667202917379523,1,0,"North",0
17,16,1,0.199992571023234,0,0,"West",0
31,21,1,0.174532616405542,0,0,"West",0
18,11,0,0.353224345493215,1,0,"West",0
7,17,0,0.239710219361261,1,0,"West",0
26,5,0,0.0376654832359831,0,0,"West",0
47,21,0,0.354627523571046,0,0,"North",0
34,12,1,0.209740782537112,1,0,"East",0
38,8,1,0.122485626277566,0,0,"West",0
28,14,1,0.191974936397023,1,0,"East",0
17,8,0,0.300185038432687,0,0,"West",0
22,12,0,0.375712248807254,0,0,"North",0
21,13,0,0.0597604348338886,1,0,"North",0
18,18,1,0.212892094234594,0,0,"East",0
32,9,0,0.0352609534855864,0,0,"West",0
10,10,0,0.407550927848153,0,0,"North",0
34,13,1,0.169666606987261,1,0,"South",0
34,16,0,0.638242095631911,0,0,"North",0
10,21,1,0.152979961289422,1,1,"North",0
32,20,0,0.362209308153747,0,0,"West",0
53,17,0,0.57780489225581,1,0,"South",0
17,2,0,0.388401329002707,0,0,"North",0
34,17,2,0.111395780477237,0,0,"North",0
15,16,1,0.0387898972803505,0,0,"West",1
37,9,1,0.337834054601534,0,0,"North",0
27,9,0,0.161852567361301,0,0,"East",0
44,5,2,0.636037219953368,0,0,"East",0
6,12,0,0.147632450670348,1,1,"West",0
23,12,0,0.435322412686882,0,0,"East",0
18,3,0,0.473605688925452,0,0,"North",0
22,4,2,0.0572736034391807,0,0,"East",1
16,13,1,0.0746769307562534,1,0,"West",0
14,7,2,0.196331315019296,0,1,"West",0
31,11,1,0.541414642179158,1,1,"North",0
11,17,1,0.59849718048914,1,0,"North",0
42,10,1,0.13329620966036,1,0,"South",0
10,13,0,0.171463274958806,0,0,"South",0
25,15,0,0.280809353299211,0,0,"West",0
30,6,0,0.599777711756395,0,0,"North",0
31,18,2,0.0422833141198388,0,0,"North",0
20,17,1,0.0989886892779392,0,0,"North",1
25,18,0,0.470350323212771,0,0,"West",0
36,10,0,0.0305635210871548,0,0,"South",1
7,5,0,0.55014302393568,0,0,"East",0
15,15,0,0.370098939903543,1,0,"East",0
28,15,0,0.16473362454839,0,0,"West",0
19,25,1,0.284566894264195,0,0,"East",0
40,21,1,0.431586206349883,0,0,"West",0
32,10,1,0.362298930326791,1,0,"West",0
25,7,0,0.473480430598025,0,0,"West",0
6,15,1,0.682840872822059,0,0,"East",0
24,22,0,0.371091048027243,0,0,"East",0
20,6,2,0.0740083752446525,0,0,"East",0
23,8,0,0.298314328998506,0,0,"North",0
10,21,0,0.0208530429892878,0,0,"East",0
30,21,1,0.239196229425781,0,0,"East",0
12,13,1,0.150580457775203,0,0,"South",0
21,4,1,0.133789398966704,0,0,"West",0
29,9,1,0.177163727707328,0,0,"West",0
15,18,0,0.124491451608783,1,1,"West",1
31,23,0,0.135563760223585,0,0,"West",0
8,12,1,0.214852155589161,1,0,"West",0
1,9,0,0.214355798013517,1,1,"East",0
30,14,0,0.280477767405855,0,0,"South",0
34,13,1,0.256406253936716,1,0,"North",0
21,7,0,0.200299488508496,0,0,"West",0
30,15,0,0.244799036519367,1,0,"East",0
10,19,0,0.390203640325042,0,0,"West",0
22,12,3,0.30821331938831,0,0,"North",0
1,15,0,0.0671420698187685,0,0,"West",0
38,13,1,0.14890771792642,0,0,"West",0
46,14,0,0.285946382467149,0,0,"South",0
37,11,0,0.352867630700607,1,1,"North",0
